;sample
x0;399.52005247652914
x1;339.97229607726234
x2;238.07534527976784
x3;317.5516498191201
x4;320.26928342332667
x5;263.7491751113478
x6;406.44102911219557
x7;372.1819908791239
x8;355.55711087138445
x9;304.7897288005515
x10;306.23249643069704
x11;258.7485173359169
x12;288.5168774326737
x13;418.70724901040285
x14;285.24901393037044
x15;361.2150069061125
x16;334.9511510468263
x17;319.73149362537544
x18;283.333953255174
x19;300.6183348707437
x20;259.68875067521964
x21;410.0367819426575
x22;294.85331594330256
x23;365.70867115745494
x24;293.8593665434684
x25;292.6843199795392
x26;288.645810952712
x27;353.9393917376944
x28;312.0483178829402
x29;262.37962953809927
x30;241.8432681054303
x31;220.75267308006264
x32;352.38894969733053
x33;363.60881140989807
x34;325.60322186397684
x35;312.99940978068975
x36;327.66876631503885
x37;206.0511654334857
x38;318.48708582764755
x39;266.8774784335567
x40;269.9210662279528
x41;267.44131137708337
x42;325.4980444852693
x43;260.94822361597386
x44;304.90181823360166
x45;279.78893457199644
x46;285.382413608456
x47;357.21975231656825
x48;272.6992986670124
x49;377.97494823223735
x50;387.1809476540787
x51;327.7754720117975
x52;284.66995223121745
x53;308.3029494013363
x54;336.317555654894
x55;294.47736281763406
x56;281.34355145831614
x57;306.60020932877507
x58;348.74512823314893
x59;307.46570504917287
x60;312.188434910698
x61;296.056028383537
x62;284.23023217533273
x63;277.0266006276633
x64;328.9578407628411
x65;313.86238842094446
x66;389.6286560267285
x67;236.30384308077336
x68;287.4165777502907
x69;326.5186266961063
x70;258.6223760430415
x71;270.06418009556495
x72;315.64611514498677
x73;292.6537011928052
x74;263.91983603600994
x75;370.8542724724424
x76;324.90181557764305
x77;247.24974316161638
x78;237.10669151629457
x79;307.8612199921667
x80;196.84049916194664
x81;343.9612735083231
x82;271.51044876857094
x83;294.3863838230791
x84;378.64498112679
x85;245.4262260196881
x86;379.41638949736017
x87;347.10656115842966
x88;310.2091475802023
x89;300.9672015168415
x90;300.1002579850554
x91;323.69919484426543
x92;356.9512482605638
x93;201.888908370311
x94;349.9655666998249
x95;291.9181433393727
x96;293.51198369984127
x97;299.1170742805756
x98;336.8639968310204
x99;252.88434362237408
x100;237.8001598280071
x101;243.3219896140166
x102;293.25413758302165
x103;255.52102166901255
x104;239.07496711775434
x105;239.5810184551036
x106;315.8153476049359
x107;361.1621771382937
x108;351.98728657042665
x109;227.60857607487554
x110;319.45897922690136
x111;199.0323953317312
x112;278.98380190759843
x113;345.22088688817433
x114;287.82009927771117
x115;292.72691781505256
x116;314.495898217201
x117;280.5556306011432
x118;272.4341256928485
x119;308.0869733218729
x120;336.4311573356003
x121;205.94768124173842
x122;346.57319429342755
x123;314.00644324646765
x124;290.4264539628369
x125;282.03066123922156
x126;309.0279575211818
x127;378.41051691823685
x128;323.4793712042863
x129;292.6995817723691
x130;309.56176943127537
x131;275.8149717354888
x132;234.2342884098172
x133;317.94473137131143
x134;252.99111799338488
x135;295.7777735659336
x136;365.7476148196496
x137;347.21593248641665
x138;255.43010286785866
x139;266.42311377022935
x140;372.99898748060747
x141;209.33170327226338
x142;266.2521075480208
x143;356.3483398702646
x144;367.79839295929975
x145;246.6456817733836
x146;270.0353121435425
x147;288.83803562320156
x148;260.3704777313612
x149;341.15095158233913
x150;348.63500881859045
x151;408.234228359981
x152;346.5157815862202
x153;376.1331450547123
x154;289.6815367563752
x155;296.09071556415347
x156;283.9409184587139
x157;322.6511402131662
x158;310.98183320866576
x159;319.40796445565263
x160;276.50668507660464
x161;261.3862268211439
x162;305.3980419039409
x163;265.6608263937119
x164;250.16442588944767
x165;323.11434283633986
x166;337.58231632522035
x167;269.12023773868634
x168;290.36697128618295
x169;307.8685440126284
x170;269.68606092879264
x171;367.86166495124553
x172;217.11040664397908
x173;341.41667275031153
x174;313.21080153410134
x175;285.2686845937503
x176;374.28852619646176
x177;277.9315687902201
x178;271.00120019809407
x179;299.73353999826236
x180;267.2637236681202
x181;292.14327471265347
x182;306.2683566174563
x183;260.2758147965491
x184;312.0986949181403
x185;350.3962741377886
x186;306.456722634541
x187;364.65504686085495
x188;405.81235491385695
x189;272.80721310057197
x190;288.38718957476
x191;294.2694468065447
x192;327.75514608652753
x193;325.9710620947068
x194;319.1796990491479
x195;332.6821793747447
x196;309.9302403652955
x197;280.87704618093403
x198;252.55093165979082
x199;360.5202227239727
x200;358.9145308059297
x201;264.6520563103319
x202;371.4621937973927
x203;268.74485836558847
x204;238.21834732611353
x205;213.55876772274038
x206;235.09342313839574
x207;278.8702027154184
x208;257.53053189856183
x209;351.32413446166476
x210;386.11751115524436
x211;281.2727024083064
x212;356.740289274464
x213;329.9101602495515
x214;256.7423952190014
x215;277.63997949398555
x216;432.4676643187503
x217;229.3703558764434
x218;327.132896569706
x219;269.11591246737026
x220;285.33100595412265
x221;263.2130225096604
x222;280.8851415876701
x223;316.053924072681
x224;294.8322330274256
x225;374.5697661360709
x226;393.3220711066636
x227;420.1356690231617
x228;324.1731956210025
x229;429.637093930781
x230;380.2987471493179
x231;290.7458449507412
x232;386.2213526430407
x233;275.43152600029106
x234;212.5804742625041
x235;404.76425156756136
x236;357.35846857211243
x237;258.8743514558837
x238;390.6743902580556
x239;332.3088935019042
x240;341.3520290622722
x241;219.62132578465503
x242;283.29459136081937
x243;308.5061902330543
x244;230.40045256776202
x245;318.2664582956312
x246;284.54979719027193
x247;312.49616149130725
x248;255.39044214323965
x249;333.3926206285891
x250;281.1983688203111
x251;209.1056931244994
x252;316.1383695376535
x253;387.25972273561615
x254;282.43542976826535
x255;308.4768523005135
x256;352.0469936385382
x257;362.2256488879535
x258;269.5817851815542
